"From                     	                          To","Player  (160)","Pos","Yrs","Value                                                                         $1,466,443,500","AAV                                                                         $6,820,667"
"ATL","Abraham Almonte","CF","1","$990,000","$990,000"
"MIL","Daniel Robertson","SS","1","$900,000","$900,000"
"MIA","Ross Detwiler","RP","1","$850,000","$850,000"
"MIL","Luke Maile","C","1","$825,000","$825,000"
"COL","Jhoulys Chacin","SP","1","$800,000","$800,000"
"CHC","Ryan Tepera","RP","1","$800,000","$800,000"
"BAL","Maikel Franco","3B","1","$800,000","$800,000"
"SEA","Keynan Middleton","RP","1","$800,000","$800,000"
"SF","John Brebbia","RP/SU8","1","$800,000","$800,000"
"TB","Oliver Drake","RP","1","$775,000","$775,000"
"NYM","Sam McWilliams","RP","1","$750,000","$750,000"
"CHC","Jonathan Holder","RP","1","$750,000","$750,000"
"TEX","Jimmy Herget","RP","1","$700,000","$700,000"
"CHC","Kohl Stewart","SP/SP4","1","$700,000","$700,000"
"SD","Brian O'Grady","LF","1","$650,000","$650,000"
"TEX","Scott Heineman","OF","1","$595,000","$595,000"
"SF","Chadwick Tromp","C","1","$583,000","$583,000"
"WSH","Sam Clay","RP","1","$575,000","$575,000"
"STL","Wade LeBlanc","SP","1","$570,500","$570,500"
"WSH","René Rivera","C","1","$570,500","$570,500"
"SD","Ross Detwiler","RP","1","$570,500","$570,500"
"SEA","Matt Andriese","RP","1","$570,500","$570,500"
"LAA","Adam Eaton","RF","1","$570,500","$570,500"
"SF","Jason Vosler","3B","1","$570,500","$570,500"
"TEX","Joe Gatto","RP","1","$570,500","$570,500"
"PIT","Yoshitomo Tsutsugo","1B","1","$570,500","$570,500"
"BOS","Jose Iglesias","SS","1","$570,500","$570,500"
"LAD","Shane Greene","RP","1","$570,500","$570,500"
"LAD","Albert Pujols","DH/1B","1","$570,500","$570,500"
"LAA","Kolton Ingram","P","0","$0",""
"NYM","Caleb Joseph","C","0","$0",""

